,Feature,Pearson Coefficent Selector,Logistic Regression Selector,Random Forest Selector,Extra Tree Selector,Chi-2 Selector,Forward Feature Selector,Backward Feature Selector,Mutual Info Selector,Factor Analysis Selector,PCA selector,Total
1,RRV_ApEn,True,True,True,True,True,True,True,True,True,True,10
2,RRV_HFn,True,True,True,True,True,False,False,True,True,True,8
3,RRV_SD2SD1,True,False,True,True,False,True,True,False,True,True,7
4,RRV_VLF,False,True,True,True,False,False,False,True,True,True,6
5,RRV_SampEn,True,False,True,True,True,False,False,True,False,True,6
6,RRV_MadBB,True,True,False,True,True,False,True,False,True,False,6
7,RRV_LFn,False,False,True,True,False,True,True,True,True,False,6
8,RRV_LF,True,True,True,True,True,False,False,True,False,False,6
9,RSP_Phase_Duration_Inspiration,True,True,False,True,True,False,False,False,False,False,4
10,RRV_SD2,True,True,False,False,True,True,False,False,False,False,4
11,RRV_MedianBB,False,True,False,False,False,True,True,False,True,False,4
12,RRV_MeanBB,False,False,True,True,False,True,True,False,False,False,4
13,RSP_Rate_Mean,False,True,False,False,False,False,True,False,False,True,3
14,RSP_Phase_Duration_Ratio,False,True,False,False,False,False,False,False,True,True,3
15,RSP_Amplitude_Mean,False,False,False,False,False,True,True,False,False,True,3
16,RRV_SDBB,True,False,False,False,True,False,False,False,False,True,3
17,RRV_RMSSD,False,False,True,False,False,False,False,True,True,False,3
18,RRV_LFHF,False,False,False,False,True,True,False,False,False,True,3
19,RRV_HF,True,False,False,False,True,False,False,False,True,False,3
20,RRV_CVSD,False,False,True,False,False,False,True,True,False,False,3
21,RRV_SD1,False,False,False,False,False,True,False,True,False,False,2
22,RRV_CVBB,False,False,False,False,False,True,True,False,False,False,2
23,RRV_SDSD,False,False,False,False,False,False,False,True,False,False,1
24,RSP_Phase_Duration_Expiration,False,False,False,False,False,False,False,False,False,False,0
25,RRV_MCVBB,False,False,False,False,False,False,False,False,False,False,0
